anonyme_Source,anonyme_Target,Weight
102807,59993,13
101903,82235,19
25487,28555,7
20524,2661,7
57087,69279,5
28525,82885,5
636,107121,104
67993,47907,16
22666,23196,6
108022,59081,5
70793,1382,5
17381,105678,6
84624,25013,16
84684,56720,7
64167,36124,18
34337,110415,5
25789,1438,9
102173,102173,72
73695,58885,6
56304,73106,10
27259,66114,5
109450,103436,27
80622,69746,6
88782,103436,8
88101,55056,12
92174,24846,5
83909,44465,19
73747,16133,6
83583,47464,39
96349,43530,40
35131,51047,7
90164,67000,5
54310,29054,7
98444,99704,7
59437,103185,6
48210,102828,10
91791,84624,11
99169,86428,7
10000,63792,12
51687,86428,27
36325,43893,27
37505,7090,12
12063,84624,32
29950,79228,10
90591,44150,12
112280,67236,224
72881,93059,26
110289,89561,5
28515,93059,23
37243,70564,9
106085,19227,22
10166,19227,14
15530,86428,45
72790,100221,10
29661,6749,6
56452,36640,27
107621,15161,9
28977,4965,7
70424,44296,5
52992,89513,5
24637,23196,11
110043,29977,88
14592,22341,205
33754,38860,12
68021,112826,17
60605,36776,6
112735,90767,5
79957,72302,12
16403,86919,9
92127,66068,5
34070,35594,5
61953,70974,7
77221,70974,5
70761,70974,11
99436,37757,18
8779,79090,12
1300,37884,7
58881,82784,13
49582,103436,5
8216,75584,18
83502,48945,81
7722,107208,5
2671,44852,117
104212,93059,23
28943,24612,7
66312,7439,11
34016,7405,5
17726,2786,10
96694,86428,14
60806,13158,7
32822,67972,7
27754,6980,8
93410,70974,6
10751,104166,8
13993,103436,22
2639,86428,6
40281,100201,7
100620,78398,64
9492,17797,13
96053,59993,22
31322,95848,29
80667,34983,7
55847,16243,9
1667,49288,7
54019,4965,12
24165,33948,6
26137,102284,5
82806,109364,143
79318,59998,6
75001,108352,7
85266,103436,16
22178,47647,7
51768,107965,9
7823,36415,23
78055,26496,9
45679,75573,8
74142,33150,16
2008,33150,11
30805,83545,5
43441,33218,5
2336,2007,9
34138,41934,7
69253,111101,7
85618,70974,11
111688,84624,23
82061,50339,13
98629,45715,10
60969,24361,6
60697,56355,11
36101,48805,6
51172,51067,18
45264,15001,32
92442,13673,14
45562,90923,10
66929,34796,10
9078,24689,12
52085,36415,5
48028,37757,11
43685,82628,12
6487,70974,6
37411,20022,35
16890,70974,14
88229,70974,11
67885,8533,10
66371,84624,9
48181,1578,7
55956,21743,14
26934,9421,5
32981,20733,6
37103,8728,5
37915,103436,6
39122,68120,7
84081,12264,8
53394,12750,10
96533,4766,6
2008,4965,13
48992,90313,8
27863,20022,20
44096,12750,18
23316,398,7
44207,57453,7
108633,109048,6
89999,89999,46
72803,72702,79
111243,102346,13
71141,48549,5
44630,25013,30
46238,84624,23
111384,82402,10
23686,51669,5
106752,70974,13
33336,94352,5
99478,74062,5
75023,11757,5
52071,70974,11
84799,10022,5
13140,18979,8
65259,78398,11
65148,70974,6
38712,42298,12
68041,70974,22
7468,96357,10
111916,45890,5
111488,109191,5
110263,7854,76
33534,29977,5
86778,98468,7
87200,98767,7
36276,52391,11
27373,38184,5
49457,72302,29
10266,65374,8
95104,96357,6
27666,31358,5
45934,86428,7
89182,86428,15
33348,112826,7
79338,16243,6
107075,85058,6
5543,67724,6
19879,37757,11
74430,32706,7
51993,34296,10
112044,12511,16
44630,12750,10
21531,423,7
98830,24605,17
96346,88860,8
77371,29059,9
95572,19898,63
53179,91442,5
21437,96924,5
32274,47427,11
60373,37945,7
50201,72302,7
20047,85645,14
62696,50732,5
56187,66543,6
10822,92522,7
75507,15001,5
105428,49955,6
79379,91692,6
39715,67369,5
61583,110556,5
71862,86428,11
8046,105984,5
103397,26496,7
54138,1836,12
28967,29977,9
67973,67369,7
93732,85645,15
41967,13479,5
43490,12750,5
76681,72302,32
16226,30849,6
30148,61951,19
15094,4965,7
11887,58872,5
24078,29977,9
83884,96357,33
93762,48393,6
82653,84624,18
105667,107965,7
98402,85645,6
76722,40866,6
107145,3844,30
40727,17205,6
100604,87117,26
100262,16321,6
104094,29977,7
53454,67724,5
20775,24361,5
55644,55644,7
77720,10104,9
62096,86428,8
30977,38307,7
91395,77278,16
103645,59593,10
104441,78398,8
17295,59581,7
1464,22341,70
43116,22341,645
87949,29158,6
37194,37602,8
100246,107279,55
2958,23958,6
96166,108068,9
33240,67739,6
45679,34813,7
64112,85645,9
41475,112826,5
84281,81614,5
4040,28793,5
48498,93221,8
81442,38261,5
51999,38261,9
69377,47859,10
27252,102310,5
82740,54164,5
76453,37757,6
44201,22767,8
24914,83545,14
89074,88096,18
56310,3844,6
45031,103436,5
39120,12750,24
25043,66427,6
40147,47308,6
45628,48299,5
8523,96357,6
52164,12264,5
29503,82280,5
57081,28555,5
19332,66474,5
68862,7272,5
21202,69469,9
39862,43530,17
22731,103436,35
51738,36262,12
15641,23964,5
22222,69124,7
34227,69253,14
78056,70241,34
27494,55426,7
6399,45890,5
28608,28793,6
67163,59152,12
58856,36298,5
71146,111101,18
110623,43530,9
2963,38261,5
11037,27861,11
20296,14817,6
71028,100221,9
26293,39956,7
78152,19227,12
49606,4965,5
9818,42298,6
47584,6980,5
110490,36427,13
100671,53507,6
35931,89561,7
104371,102454,7
50000,88225,12
76214,108352,20
47184,45165,9
9799,46548,11
8363,87980,5
93478,103436,14
111173,66474,12
77088,112604,8
55590,33150,17
88758,49577,6
65268,80266,13
65190,69124,5
41947,99492,7
63183,103436,15
111050,43530,6
19360,53100,6
25039,43729,5
767,8533,7
37719,856,7
106893,63242,13
73467,87420,10
75911,63242,5
4837,23092,5
34146,16161,5
68924,98165,12
46321,29977,16
69171,12750,7
19769,63242,10
6685,52146,5
100170,101002,7
37000,82402,31
53151,99351,5
104002,53487,5
107475,89548,15
48656,79912,5
15789,51067,17
63969,8729,17
98692,1367,5
108563,87980,5
99519,23141,5
83539,93868,7
112721,41934,9
95740,23868,13
51974,23919,6
5555,64222,9
56067,45353,10
98104,68389,6
20389,109048,6
15489,36415,11
81523,36415,19
57477,40132,8
60493,92924,5
90208,86818,5
88027,66048,8
87642,37757,9
92810,105984,28
31649,70974,6
69232,47308,9
94652,8200,12
78641,12511,10
107418,26622,6
37691,15372,6
19133,111561,10
27227,12511,6
59602,109348,5
82610,102980,12
59959,18565,5
8571,19752,5
38558,84431,6
63606,72702,7
25597,68216,6
2051,3634,9
15746,76857,5
43429,88003,7
25852,66048,7
89385,104530,5
84249,79148,5
13467,109683,11
95495,59593,5
92825,105758,5
88493,65374,6
2095,19752,7
28843,32729,5
65243,24605,16
34221,103436,6
92286,398,6
36633,97204,6
63784,105654,5
69210,105984,9
67671,105984,5
21915,104156,8
3875,24361,12
73337,72702,64
71091,41844,5
69632,20347,7
107897,77792,9
9803,32912,6
108931,11751,6
18203,107965,8
64295,36297,6
20052,58872,5
882,5918,15
23072,67750,6
80071,72702,13
99752,11550,5
28426,7463,5
29750,29977,9
72535,29977,6
339,52475,17
81298,85976,5
20197,55457,5
22198,15001,5
63115,107965,5
85311,103436,22
71017,24146,38
41686,108364,8
11867,102346,5
18757,85619,12
906,109111,25
65891,100708,5
13578,58441,10
65853,28390,5
20589,44852,10
66587,33948,15
59857,101895,5
39862,88225,6
55394,55394,5
72572,89545,7
13899,70519,6
24318,36415,9
113022,32706,5
14499,67369,11
61390,70721,6
43593,96357,7
66496,9408,5
78187,22606,10
112773,111656,6
103851,9408,6
74305,79090,7
27368,112604,12
1185,109173,19
39797,40913,9
64890,103436,5
103752,82312,6
31978,72702,13
101262,19752,6
41191,4965,6
67145,70974,7
37411,77067,6
79473,38261,8
3971,7272,7
62026,19469,5
37534,1592,8
30612,103436,22
32641,70974,5
96821,96809,5
88328,22865,5
54011,93059,27
5261,99492,6
18445,94489,17
45208,67369,10
78124,66474,8
32899,93059,7
90908,15001,6
102565,24361,5
1001,107456,6
43971,91390,5
21638,19227,9
83952,89239,11
96158,84840,38
104498,28793,6
37056,80704,7
110983,27861,6
53002,86428,16
45257,51441,7
